Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2019-09-09 10:03:05.746 +0530,"Running",0:00:00,,,,"20190909_100305.746/LogFile.txt","","",
2019-09-09 10:04:09.224 +0530,"Failure",0:00:12,1,1,1,"20190909_100409.224/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""PD_PBSJobApp_Page/Btn_SaveProfile""",0
2019-09-09 10:04:53.707 +0530,"Failure",0:00:13,1,1,1,"20190909_100453.707/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""PD_PBSJobApp_Page/Btn_SaveProfile""",0
2019-09-09 10:06:17.623 +0530,"Running",0:00:00,,,,"20190909_100617.623/LogFile.txt","","",
2019-09-09 10:12:28.062 +0530,"Running",0:00:00,,,,"20190909_101228.062/LogFile.txt","","",
2019-09-09 10:17:41.028 +0530,"Running",0:00:00,,,,"20190909_101741.028/LogFile.txt","","",
2019-09-09 10:24:15.547 +0530,"Failure",0:02:07,1,9,1,"20190909_102415.547/LogFile.txt","","Image Not Found -- drop Error - No Image Found On Screen: ""PD_PBSJobApp_Page/Drop_location""",0
2019-09-09 10:27:10.309 +0530,"Success",0:04:17,0,25,0,"20190909_102710.309/LogFile.txt","","",1
2019-09-09 10:34:51.532 +0530,"Failure",0:00:24,1,1,1,"20190909_103451.532/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""PD_PBSJobApp_Page/DropDown_SelectServer"" within 5.00 seconds",0
2019-09-09 10:35:33.381 +0530,"Running",0:00:00,,,,"20190909_103533.381/LogFile.txt","","",
2019-09-09 10:36:29.974 +0530,"Success",0:09:31,0,30,0,"20190909_103629.974/LogFile.txt","","",1
2019-09-19 14:39:39.130 +0530,"Failure",0:06:19,3,28,1,"20190919_143939.130/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""PD_PBSJobApp_Page/ListItem_QueueNormalPri""",15
